EntrezGeneID	Annotation	GOterms
SymbC1.scaffold1.1085.m1	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase	GO:0047334|GO:0097367|GO:0006096|GO:0006002|GO:0003872
SymbC1.scaffold1.1087.m1	replicative DNA helicase	GO:0005524|GO:0003678|GO:0006260
SymbC1.scaffold1.1088.m1	S49 family peptidase	
SymbC1.scaffold1.1089.m1	site-specific integrase	GO:0003677|GO:0006310|GO:0015074
SymbC1.scaffold1.1091.m1	DUF1580 domain-containing	
SymbC1.scaffold1.1092.m1	hypothetical protein	
SymbC1.scaffold1.1093.m1	DUF4145 domain-containing	
SymbC1.scaffold1.1095.m1	phage tail tape measure	GO:0006508|GO:0008233
SymbC1.scaffold1.1096.m1	NA	
SymbC1.scaffold1.1101.m1	ABC transporter ATP-binding	GO:0016887|GO:0005524|GO:0004129|GO:0016020|GO:0022904
SymbC1.scaffold1.1102.m1	protoheme IX farnesyltransferase	GO:0048034|GO:0016627|GO:0008495|GO:0016021|GO:0006784|GO:0055114
SymbC1.scaffold1.1104.m1	diaminopimelate decarboxylase	GO:0008836|GO:0009089
SymbC1.scaffold1.1105.m1	hypothetical protein	
SymbC1.scaffold1.1106.m1	gfo Idh family oxidoreductase	GO:0016491
SymbC1.scaffold1.1107.m1	3-phosphoshikimate 1-carboxyvinyltransferase	GO:0009073|GO:0003866
SymbC1.scaffold1.1110.m1	xylose isomerase	GO:0005975|GO:0009045
SymbC1.scaffold1.1117.m1	bifunctional glutamate N-acetyltransferase amino-acid acetyltransferase	GO:0006813|GO:0004358|GO:0006526|GO:0008324
SymbC1.scaffold1.1118.m1	N-acetyl-gamma-glutamyl-phosphate reductase	GO:0003942|GO:0006526|GO:0051287|GO:0046983|GO:0055114
SymbC1.scaffold1.1119.m1	hypothetical protein DWQ37_21180	GO:0042802|GO:0043130|GO:0008092|GO:0030674
SymbC1.scaffold1.1120.m1	DUF1588 domain-containing	GO:0003824|GO:0009116
SymbC1.scaffold1.1121.m1	enterobactin esterase	GO:0003824
SymbC1.scaffold1.1123.m1	flagellar motor switch	GO:0006935|GO:0009288|GO:0071973|GO:0003774
SymbC1.scaffold1.1124.m1	16S rRNA (cytosine(1402)-N(4))-methyltransferase	GO:0008168
SymbC1.scaffold1.1126.m1	RNA polymerase subunit sigma-70	GO:0003677|GO:0003700|GO:0006355|GO:0006352
SymbC1.scaffold1.1127.m1	type I-C CRISPR-associated Cas7 Csd2	GO:0003676|GO:0046872|GO:0004519|GO:0043571|GO:0051607
SymbC1.scaffold1.1129.m1	Transposase DDE domain	GO:0003677|GO:0004803|GO:0006313
SymbC1.scaffold1.1131.m1	LEPR-XLL domain-containing	GO:0016539
SymbC1.scaffold1.1133.m1	V-type ATPase subunit-containing	GO:0015078|GO:0015991|GO:0033179
SymbC1.scaffold1.1136.m1	family tellurite resistance	
SymbC1.scaffold1.1137.m1	AAA family ATPase	GO:0003677|GO:0005524|GO:0016987|GO:0003700|GO:0005515|GO:0006355|GO:0004672|GO:0006352|GO:0006468
SymbC1.scaffold1.114.m1	VCBS repeat-containing	
SymbC1.scaffold1.1142.m1	heme-binding domain-containing	GO:0003824
SymbC1.scaffold1.1147.m1	DUF1592 domain-containing	
SymbC1.scaffold1.1149.m1	aldo keto reductase	GO:0008664|GO:0004113
SymbC1.scaffold1.1153.m1	arylsulfatase A	GO:0008484
SymbC1.scaffold1.1156.m1	tetratricopeptide repeat	GO:0005515
SymbC1.scaffold1.1159.m1	oxidoreductase	GO:0016491
SymbC1.scaffold1.1160.m1	alpha-2-macroglobulin	GO:0005615|GO:0004866
SymbC1.scaffold1.1162.m1	DUF1553 domain-containing	GO:0003824|GO:0009055|GO:0020037
SymbC1.scaffold1.1164.m1	phosphoribosylformylglycinamidine synthase I	GO:0006189|GO:0004642
SymbC1.scaffold1.1165.m1	DUF1501 domain-containing	GO:0005515|GO:0003824
SymbC1.scaffold1.1166.m1	Repeat domain-containing	
SymbC1.scaffold1.1173.m1	DUF1552 domain-containing	
SymbC1.scaffold1.1176.m1	multifunctional secreted	GO:0003723|GO:0009055|GO:0020037
SymbC1.scaffold1.1181.m1	polymerase subunit gamma and tau	
SymbC1.scaffold1.1182.m1	NA	
SymbC1.scaffold1.1183.m1	NA	
SymbC1.scaffold1.1185.m1	RHS repeat-associated core domain-containing	GO:0006508|GO:0004252
SymbC1.scaffold1.1188.m1	inorganic diphosphatase	GO:0000287|GO:0004427|GO:0005737|GO:0006796
SymbC1.scaffold1.1189.m1	6-phosphofructokinase	GO:0006096|GO:0006002|GO:0003872
SymbC1.scaffold1.1196.m1	DUF1080 domain-containing	
SymbC1.scaffold1.1198.m1	hypothetical protein RMSM_04702	
SymbC1.scaffold1.1199.m1	gfo Idh family oxidoreductase	GO:0050662|GO:0016491|GO:0055114
SymbC1.scaffold1.12.m1	metallophosphoesterase	
SymbC1.scaffold1.1200.m1	Hsp70 family	GO:0015299|GO:0006812|GO:0055085|GO:0016021
SymbC1.scaffold1.1202.m1	hypothetical protein DWQ31_19445	
SymbC1.scaffold1.1204.m1	DUF1570 domain-containing	
SymbC1.scaffold1.1207.m1	radical SAM	GO:0008484|GO:0051536
SymbC1.scaffold1.1208.m1	vanadium-dependent bromoperoxidase	GO:0004601|GO:0005515|GO:0055114
SymbC1.scaffold1.121.m1	serine threonine- phosphatase	GO:0004722|GO:0005515|GO:0006470
SymbC1.scaffold1.1212.m1	serine protease	GO:0005515|GO:0006508|GO:0004252
SymbC1.scaffold1.1213.m1	glycogen synthase	GO:0004373|GO:0045454
SymbC1.scaffold1.1214.m1	intradiol ring-cleavage dioxygenase	GO:0006725|GO:0008199|GO:0055114|GO:0018578
SymbC1.scaffold1.1215.m1	SMP-30 gluconolactonase LRE family	
SymbC1.scaffold1.122.m1	pyrrolo-quinoline quinone	GO:0005515
SymbC1.scaffold1.1220.m1	diadenosine tetraphosphatase	GO:0016787
SymbC1.scaffold1.1223.m1	MULTISPECIES: carboxypeptidase regulatory-like domain-containing	GO:0000272|GO:0002949|GO:0004553
SymbC1.scaffold1.1226.m1	sulfatase S1_15	GO:0004423
SymbC1.scaffold1.1227.m1	ribose-phosphate pyrophosphokinase	GO:0000287|GO:0009165|GO:0004749|GO:0009116
SymbC1.scaffold1.1229.m1	IMP dehydrogenase	GO:0006164|GO:0003938|GO:0055114
SymbC1.scaffold1.123.m1	DUF309 domain-containing	
SymbC1.scaffold1.1232.m1	DUF1592 domain-containing	
SymbC1.scaffold1.1242.m1	DUF1428 domain-containing	
SymbC1.scaffold1.1243.m1	DUF1588 domain-containing	GO:0009055|GO:0020037
SymbC1.scaffold1.1248.m1	response regulator	GO:0000160
SymbC1.scaffold1.125.m1	RHS repeat	GO:0008294|GO:0005576|GO:0009405
SymbC1.scaffold1.1250.m1	deoxyribose-phosphate aldolase	GO:0004139|GO:0005737|GO:0009264
SymbC1.scaffold1.1251.m1	#NAME?	GO:0004719|GO:0006464
SymbC1.scaffold1.1252.m1	HNH endonuclease	
SymbC1.scaffold1.1256.m1	type II secretion system F family	
SymbC1.scaffold1.1257.m1	type II IV secretion system	GO:0005524
SymbC1.scaffold1.1258.m1	family efflux transporter periplasmic adaptor subunit	GO:0005515
SymbC1.scaffold1.126.m1	membrane-bound dehydrogenase domain-containing	GO:0003824|GO:0009055|GO:0020037
SymbC1.scaffold1.1261.m1	N-acetylneuraminate lyase	GO:0016829
SymbC1.scaffold1.1264.m1	hypothetical protein	
SymbC1.scaffold1.1266.m1	hypothetical protein	
SymbC1.scaffold1.1267.m1	extracellular solute-binding	GO:0055085|GO:0016020
SymbC1.scaffold1.1269.m1	RNAase	GO:0003700|GO:0006355
SymbC1.scaffold1.1270.m1	homoserine dehydrogenase	GO:0050661|GO:0006520|GO:0055114|GO:0004412
SymbC1.scaffold1.1271.m1	formylglycine-generating enzyme family	
SymbC1.scaffold1.1273.m1	dehydrogenase	GO:0000287|GO:0030976|GO:0005515|GO:0003824
SymbC1.scaffold1.1274.m1	VWA domain-containing	
SymbC1.scaffold1.1277.m1	peptidyl-prolyl cis-trans isomerase	GO:0003755|GO:0000413
SymbC1.scaffold1.1279.m1	family efflux transporter periplasmic adaptor subunit	GO:0016020|GO:0006508|GO:0004222
SymbC1.scaffold1.128.m1	30S ribosomal S9	GO:0003735|GO:0005840|GO:0006412
SymbC1.scaffold1.1281.m1	DUF1501 domain-containing	GO:0003824
SymbC1.scaffold1.1282.m1	dehydrogenase	GO:0003824|GO:0009055|GO:0020037
SymbC1.scaffold1.1284.m1	serine threonine kinase	GO:0005524|GO:0003700|GO:0006355|GO:0004672|GO:0006352|GO:0006468
SymbC1.scaffold1.1288.m1	PDZ domain-containing	GO:0030604|GO:0005515|GO:0046872|GO:0006508|GO:0070402|GO:0055114|GO:0008299|GO:0004222
SymbC1.scaffold1.1289.m1	PDZ domain-containing	GO:0005515
SymbC1.scaffold1.1290.m1	hypothetical protein A2V70_07410	GO:0016020
SymbC1.scaffold1.1293.m1	DUF1553 domain-containing	GO:0003824|GO:0009055|GO:0020037
SymbC1.scaffold1.1295.m1	High-affnity carbon uptake Hat	GO:0005524|GO:0003700|GO:0005515|GO:0006355|GO:0004672|GO:0006352|GO:0006468
SymbC1.scaffold1.1297.m1	nitrate ABC transporter substrate-binding	GO:0016887|GO:0005524|GO:0015112|GO:0055085|GO:0016020|GO:0015706
SymbC1.scaffold1.1298.m1	nitrite reductase (NAD(P)H) small subunit	GO:0050661|GO:0050660|GO:0016021|GO:0019645|GO:0051537|GO:0008942|GO:0020037|GO:0043546|GO:0042128
SymbC1.scaffold1.1299.m1	acetolactate synthase large subunit	GO:0000287|GO:0030976|GO:0016491|GO:0050660|GO:0045454|GO:0055114
SymbC1.scaffold1.1301.m1	RNA polymerase sigma factor	GO:0003677|GO:0016987|GO:0003700|GO:0006355|GO:0006352
SymbC1.scaffold1.1302.m1	VWA domain-containing	GO:0000155|GO:0003677|GO:0000160|GO:0006355|GO:0016310
SymbC1.scaffold1.1306.m1	Lysophospholipase L1	GO:0016788|GO:0005509
SymbC1.scaffold1.1307.m1	P-II family nitrogen regulator	GO:0009055|GO:0006808|GO:0051536|GO:0030234
SymbC1.scaffold1.1308.m1	PHP domain-containing	GO:0003824
SymbC1.scaffold1.1311.m1	S41 family peptidase	GO:0005515|GO:0006508|GO:0008236
SymbC1.scaffold1.1312.m1	arginine--tRNA ligase	GO:0005524|GO:0004814|GO:0005737|GO:0006420
SymbC1.scaffold1.1316.m1	tandem-95 repeat	GO:0004601|GO:0006979|GO:0030246
SymbC1.scaffold1.1318.m1	tolQ-type transport	GO:0005515
SymbC1.scaffold1.1319.m1	helix-turn-helix domain-containing	GO:0003700|GO:0006355|GO:0043565
SymbC1.scaffold1.1320.m1	nitric-oxide reductase large subunit	GO:0004129|GO:0016021|GO:0009060|GO:0020037
SymbC1.scaffold1.1321.m1	polysulfide reductase	
SymbC1.scaffold1.1322.m1	nitrate reductase	GO:0030151|GO:0008940|GO:0055114|GO:0042597|GO:0043546
SymbC1.scaffold1.1324.m1	DUF1592 domain-containing	GO:0003700|GO:0006355|GO:0006352
SymbC1.scaffold1.1325.m1	Planctomycete cytochrome C	GO:0003824|GO:0009055|GO:0020037
SymbC1.scaffold1.1326.m1	membrane-bound dehydrogenase	GO:0003824|GO:0009055|GO:0020037
SymbC1.scaffold1.133.m1	family	
SymbC1.scaffold1.1331.m1	DUF1592 domain-containing	GO:0003824|GO:0009055|GO:0020037
SymbC1.scaffold1.1337.m1	quinone oxidoreductase	GO:0016491|GO:0055114
SymbC1.scaffold1.1338.m1	SDR family oxidoreductase	
SymbC1.scaffold1.1343.m1	orotate phosphoribosyltransferase	GO:0009116|GO:0006221|GO:0004588
SymbC1.scaffold1.1344.m1	pyridoxine 5 -phosphate synthase	GO:0008615|GO:0005737|GO:0033856
SymbC1.scaffold1.1348.m1	DUF4132 domain-containing	GO:0016887|GO:0005524
SymbC1.scaffold1.1351.m1	ATPase	GO:0003677|GO:0006508|GO:0006310|GO:0015074|GO:0008233
SymbC1.scaffold1.1352.m1	twitching motility	GO:0005524|GO:0000107|GO:0000105
SymbC1.scaffold1.1353.m1	alanine dehydrogenase	GO:0000286|GO:0042853
SymbC1.scaffold1.1354.m1	peptidylprolyl isomerase	GO:0003755|GO:0000413
SymbC1.scaffold1.1358.m1	7-cyano-7-deazaguanine synthase	
SymbC1.scaffold1.136.m1	lactate permease	GO:0005887|GO:0000160|GO:0015727|GO:0015129
SymbC1.scaffold1.1364.m1	Transposase DDE domain-containing	GO:0003677|GO:0004803|GO:0006313
SymbC1.scaffold1.1372.m1	threonylcarbamoyl-AMP synthase	GO:0003725
SymbC1.scaffold1.1374.m1	elongation factor Tu	GO:0005525|GO:0006605|GO:0003735|GO:0003746|GO:0003924|GO:0015450|GO:0016021|GO:0032784|GO:0015934|GO:0006414|GO:0009306
SymbC1.scaffold1.1377.m1	DNA-directed RNA polymerase subunit beta	GO:0003677|GO:0003899|GO:0032549|GO:0006351
SymbC1.scaffold1.1378.m1	VWA domain-containing	
SymbC1.scaffold1.1380.m1	DUF1559 domain-containing	
SymbC1.scaffold1.1382.m1	site-specific tyrosine recombinase	GO:0003677|GO:0006310|GO:0015074|GO:0009009
SymbC1.scaffold1.1383.m1	DUF1588 domain-containing	GO:0009055|GO:0001681|GO:0020037
SymbC1.scaffold1.1389.m1	ribonuclease HI	GO:0003676|GO:0004523
SymbC1.scaffold1.139.m1	xylulokinase	GO:0005997|GO:0004856
SymbC1.scaffold1.1394.m1	sigma-54-dependent Fis family transcriptional regulator	GO:0005524|GO:0006355|GO:0043565|GO:0008134
SymbC1.scaffold1.1395.m1	DUF4465 domain-containing	GO:0005509
SymbC1.scaffold1.1398.m1	glycosyl transferase family 2	
SymbC1.scaffold1.140.m1	DUF2237 domain-containing	
SymbC1.scaffold1.1400.m1	aspartate kinase	GO:0004190|GO:0004072|GO:0009089|GO:0016020
SymbC1.scaffold1.1401.m1	pilus assembly	
SymbC1.scaffold1.1402.m1	type II secretion system F family	
SymbC1.scaffold1.1408.m1	periodic tryptophan 2	GO:0005515
SymbC1.scaffold1.141.m1	WD40 repeat-containing	GO:0005515|GO:0000159|GO:0019888
SymbC1.scaffold1.1412.m1	amino acid aminotransferase	GO:0003824
SymbC1.scaffold1.1416.m1	FAD-dependent oxidoreductase	GO:0016491|GO:0055114
SymbC1.scaffold1.1417.m1	6-bladed beta-propeller	
SymbC1.scaffold1.1419.m1	transcriptional repressor	GO:0008270|GO:0045892
SymbC1.scaffold1.1420.m1	5 3 -nucleotidase	GO:0006508|GO:0008234
SymbC1.scaffold1.1423.m1	hypothetical protein	
SymbC1.scaffold1.1431.m1	4-(cytidine 5 -diphospho)-2-C-methyl-D-erythritol kinase	GO:0005524|GO:0050515|GO:0016114|GO:0030435
SymbC1.scaffold1.1434.m1	L-threonine 3-dehydrogenase	GO:0008270|GO:0055114|GO:0006567|GO:0008743
SymbC1.scaffold1.1435.m1	glycine C-acetyltransferase	GO:0030170|GO:0008890|GO:0009058|GO:0006567
SymbC1.scaffold1.1438.m1	excinuclease ABC subunit	GO:0016887|GO:0003677|GO:0005524|GO:0009380|GO:0006289
SymbC1.scaffold1.144.m1	heparan N-sulfatase	GO:0008484
SymbC1.scaffold1.1443.m1	serine threonine kinase	GO:0005524|GO:0006415|GO:0003747|GO:0004672|GO:0006468
SymbC1.scaffold1.1444.m1	DUF1080 domain-containing	GO:0009089|GO:0009055|GO:0008839|GO:0055114|GO:0020037
SymbC1.scaffold1.1445.m1	tetratricopeptide repeat domain	GO:0042802|GO:0043130|GO:0008092|GO:0030674
SymbC1.scaffold1.1446.m1	WD-repeat containing	GO:0005515
SymbC1.scaffold1.1448.m1	sigma-70 family RNA polymerase sigma factor	GO:0003677|GO:0016987|GO:0003700|GO:0006355|GO:0006352
SymbC1.scaffold1.1451.m1	alkaline phosphatase	GO:0046872|GO:0003993
SymbC1.scaffold1.1454.m1	phospholipid carrier-dependent glycosyltransferase	
SymbC1.scaffold1.1455.m1	family permease	GO:0016021
SymbC1.scaffold1.1456.m1	replication-associated recombination A	GO:0016887|GO:0042954|GO:0003677|GO:0005524|GO:0006281|GO:0006260|GO:0016020|GO:0006310|GO:0009378|GO:0042953
SymbC1.scaffold1.1457.m1	branched-chain-amino-acid transaminase	GO:0004084|GO:0009081
SymbC1.scaffold1.1458.m1	sodium:solute symporter family	GO:0055085|GO:0022857|GO:0016020
SymbC1.scaffold1.1460.m1	A G-specific adenine glycosylase	GO:0003677|GO:0006284|GO:0019104|GO:0051539
SymbC1.scaffold1.1462.m1	DUF1553 domain-containing	
SymbC1.scaffold1.1468.m1	S9 family peptidase	GO:0006508|GO:0004252|GO:0070008
SymbC1.scaffold1.1470.m1	type VI secretion system tip	
SymbC1.scaffold1.1473.m1	iron dicitrate transport regulator	GO:0003700|GO:0006355|GO:0006352
SymbC1.scaffold1.1477.m1	polyprenyl synthetase family	GO:0006308|GO:0008299|GO:0009318|GO:0008855
SymbC1.scaffold1.1478.m1	1-deoxy-D-xylulose-5-phosphate synthase	GO:0008661|GO:0005509|GO:0016114
SymbC1.scaffold1.148.m1	VCBS repeat-containing	GO:0004326|GO:0005524|GO:0009396
SymbC1.scaffold1.1482.m1	glucose sorbosone dehydrogenases	GO:0009055|GO:0045301|GO:0006400|GO:0020037
SymbC1.scaffold1.1484.m1	type VI secretion system tip	
SymbC1.scaffold1.1485.m1	gfo Idh family oxidoreductase	GO:0016491|GO:0005509
SymbC1.scaffold1.1486.m1	DUF1592 domain-containing	GO:0009055|GO:0020037
SymbC1.scaffold1.1495.m1	hypothetical protein COA78_03870	GO:0016887|GO:0005524
SymbC1.scaffold1.1497.m1	family transcriptional regulator	GO:0008270|GO:0043565
SymbC1.scaffold1.1501.m1	RNA 2 -phosphotransferase	GO:0006388|GO:0016773
SymbC1.scaffold1.1504.m1	integral membrane -like	GO:0016020
SymbC1.scaffold1.1506.m1	ABC transporter permease	GO:0016887|GO:0005524|GO:0043190
SymbC1.scaffold1.1509.m1	NA	
SymbC1.scaffold1.151.m1	polyphosphate kinase 2	GO:0006364|GO:0006793|GO:0004222|GO:0008976
SymbC1.scaffold1.1510.m1	A-macroglobulin complement component	GO:0003677|GO:0016987|GO:0005615|GO:0003700|GO:0004866|GO:0006355|GO:0006352
SymbC1.scaffold1.1512.m1	RNA polymerase subunit sigma-70	
SymbC1.scaffold1.1515.m1	hypothetical protein	
SymbC1.scaffold1.152.m1	PLP-dependent transferase	GO:0030170|GO:0003824|GO:0050660
SymbC1.scaffold1.1521.m1	bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase GTP cyclohydrolase II	GO:0005515|GO:0003935|GO:0009231|GO:0008686
SymbC1.scaffold1.1523.m1	DUF1553 domain-containing	GO:0005515|GO:0003824
SymbC1.scaffold1.1524.m1	alpha beta hydrolase	GO:0005515|GO:0005509|GO:0016020|GO:0016787
SymbC1.scaffold1.1525.m1	prolyl oligopeptidase family	GO:0004423
SymbC1.scaffold1.1526.m1	serine threonine kinase	GO:0005524|GO:0005515|GO:0004672|GO:0006468|GO:0016787
SymbC1.scaffold1.1527.m1	DUF4976 domain-containing	GO:0016811|GO:0008484|GO:0006807
SymbC1.scaffold1.1528.m1	methyltransferase domain-containing	
SymbC1.scaffold1.1533.m1	hypothetical protein	
SymbC1.scaffold1.1535.m1	transglutaminase domain-containing	GO:0003824
SymbC1.scaffold1.1536.m1	c-PI de-N-acetylase	
SymbC1.scaffold1.1538.m1	RNA-binding transcriptional accessory	GO:0003676|GO:0009086|GO:0006164|GO:0004639|GO:0006508|GO:0008236|GO:0005829|GO:0055114|GO:0004489
SymbC1.scaffold1.1539.m1	prepilin-type cleavage methylation domain-containing	
SymbC1.scaffold1.154.m1	M3 family oligoendopeptidase	GO:0005515|GO:0006508|GO:0004222
SymbC1.scaffold1.1540.m1	Re Si-specific NAD(P)(+) transhydrogenase subunit alpha	GO:1902600|GO:0055114|GO:0008746
SymbC1.scaffold1.1543.m1	ABC transporter ATP-binding	GO:0016887|GO:0005524
SymbC1.scaffold1.1544.m1	pyoverdine biosynthesis	GO:0003677|GO:0016491|GO:0016021|GO:0055114|GO:0016765
SymbC1.scaffold1.1545.m1	serine threonine kinase	GO:0005524|GO:0000160|GO:0004672|GO:0006468
SymbC1.scaffold1.1548.m1	polyvinylalcohol dehydrogenase	GO:0005515|GO:0005509
SymbC1.scaffold1.1549.m1	LL-diaminopimelate aminotransferase	GO:0030170|GO:0003824|GO:0009058
SymbC1.scaffold1.155.m1	hypothetical protein	
SymbC1.scaffold1.1553.m1	ABC transporter ATP-binding	GO:0016887|GO:0005524
SymbC1.scaffold1.1555.m1	EF-P lysine aminoacylase	GO:0005524|GO:0005737|GO:0004824|GO:0006430
SymbC1.scaffold1.1556.m1	elongation factor P	GO:0003746|GO:0005737|GO:0006414
SymbC1.scaffold1.1557.m1	EF-P beta-lysylation	GO:0003824|GO:0051536
SymbC1.scaffold1.1558.m1	DUF3516 domain-containing	GO:0003676|GO:0005524
SymbC1.scaffold1.156.m1	Pyrrolo-quinoline quinone	GO:0005515
SymbC1.scaffold1.1561.m1	phospholipid carrier-dependent glycosyltransferase	GO:0000030|GO:0006493|GO:0016020
SymbC1.scaffold1.1567.m1	transglutaminase domain-containing	
SymbC1.scaffold1.1568.m1	alpha beta hydrolase	
SymbC1.scaffold1.1569.m1	Fe-S oxidoreductase	
SymbC1.scaffold1.1572.m1	DUF1588 domain-containing	
SymbC1.scaffold1.1576.m1	DUF1588 domain-containing	GO:0008171|GO:0016020|GO:0035429|GO:0015128
SymbC1.scaffold1.1579.m1	aspartate aminotransferase family	GO:0030170|GO:0006526|GO:0005737|GO:0008483|GO:0003991
SymbC1.scaffold1.158.m1	peptide-methionine (S)-S-oxide reductase	GO:0008113|GO:0055114
SymbC1.scaffold1.1581.m1	gfo Idh family oxidoreductase	GO:0055085|GO:0022857|GO:0016491|GO:0016020
SymbC1.scaffold1.1586.m1	inositol monophosphatase	GO:0008934|GO:0046854|GO:0046855
SymbC1.scaffold1.1591.m1	Fimbrial assembly family	
SymbC1.scaffold1.1596.m1	two-component system response regulator	GO:0005975|GO:0005515|GO:0000160|GO:0006355|GO:0030246|GO:0016853
SymbC1.scaffold1.1598.m1	hypothetical protein FRUB_02783	
SymbC1.scaffold1.1600.m1	metal-dependent hydrolase	
SymbC1.scaffold1.1601.m1	DUF1080 domain-containing	GO:0016747
SymbC1.scaffold1.1604.m1	DUF1592 domain-containing	GO:0003824|GO:0009055|GO:0020037
SymbC1.scaffold1.1606.m1	gfo Idh family oxidoreductase	GO:0016491|GO:0016787
SymbC1.scaffold1.1607.m1	aldo keto reductase	GO:0016491|GO:0055114
SymbC1.scaffold1.161.m1	DUF255 domain-containing	GO:0003824
SymbC1.scaffold1.1612.m1	glycine cleavage system aminomethyltransferase	GO:0005975|GO:0005515|GO:0019464|GO:0004047|GO:0005960
SymbC1.scaffold1.1615.m1	glutamine--fructose-6-phosphate transaminase (isomerizing)	GO:0003677|GO:0008170|GO:0006306|GO:0010181|GO:0016491|GO:0004360|GO:0055114|GO:1901137
SymbC1.scaffold1.1619.m1	DUF58 domain-containing	GO:0008168|GO:0006364
SymbC1.scaffold1.1620.m1	NADH-quinone oxidoreductase subunit	GO:0048038|GO:0051287|GO:0009055|GO:0008137|GO:0055114|GO:0051539
SymbC1.scaffold1.1621.m1	NADH-quinone oxidoreductase subunit	GO:0016020|GO:0055114|GO:0016651|GO:0051539
SymbC1.scaffold1.1627.m1	ammonia-forming cytochrome c nitrite reductase subunit c552	GO:0006807|GO:0016021|GO:0042597|GO:0022900|GO:0042279
SymbC1.scaffold1.1629.m1	GDSL family lipase	
SymbC1.scaffold1.163.m1	tandem-95 repeat	GO:0005509
SymbC1.scaffold1.1630.m1	ferrochelatase	GO:0004325|GO:0006783
SymbC1.scaffold1.1631.m1	hypothetical protein COA79_04280	GO:0005515
SymbC1.scaffold1.1634.m1	ketoacyl-ACP synthase III	GO:0004315|GO:0006633
SymbC1.scaffold1.1641.m1	VWA domain-containing	GO:0005975|GO:0004565
SymbC1.scaffold1.1642.m1	arylsulfatase	GO:0008484
SymbC1.scaffold1.1648.m1	tRNA-dihydrouridine synthase	GO:0017150|GO:0050660|GO:0008033|GO:0055114
SymbC1.scaffold1.1649.m1	glucose dehydrogenase	GO:0003824|GO:0009055|GO:0020037
