EntrezGeneID	Annotation
aten_0.1.m1.10046.m1	PREDICTED: uncharacterized protein LOC107340173
aten_0.1.m1.1005.m1	Transmembrane 9
aten_0.1.m1.10050.m1	nuclease-like isoform X1
aten_0.1.m1.10052.m1	IQ and AAA domain-containing 1-like
aten_0.1.m1.10053.m1	---NA---
aten_0.1.m1.10055.m1	THAP domain-containing 2
aten_0.1.m1.10056.m1	melatonin receptor type 1B-B-like
aten_0.1.m1.10058.m1	PREDICTED: uncharacterized protein LOC107340168
aten_0.1.m1.1006.m1	39S ribosomal mitochondrial-like
aten_0.1.m1.10060.m1	filamin-A-like isoform X1
aten_0.1.m1.10061.m1	sarcolemmal membrane-associated -like
aten_0.1.m1.10062.m1	calcium-dependent secretion activator 1-like
aten_0.1.m1.10063.m1	transketolase-like isoform X2
aten_0.1.m1.10065.m1	PREDICTED: uncharacterized protein LOC107340159
aten_0.1.m1.10066.m1	transient receptor potential cation channel subfamily V member 6-like isoform X1
aten_0.1.m1.10067.m1	PREDICTED: uncharacterized protein LOC107340162 isoform X1
aten_0.1.m1.10068.m1	RING finger 113A
aten_0.1.m1.1007.m1	serine threonine- kinase 33-like
aten_0.1.m1.10070.m1	uncharacterized protein LOC110049734
aten_0.1.m1.10071.m1	PREDICTED: uncharacterized protein LOC107340161
aten_0.1.m1.10072.m1	---NA---
aten_0.1.m1.10073.m1	PREDICTED: uncharacterized protein LOC107340114
aten_0.1.m1.10074.m1	---NA---
aten_0.1.m1.10075.m1	helicase ARIP4-like
aten_0.1.m1.10076.m1	---NA---
aten_0.1.m1.10078.m1	F-box WD repeat-containing 7-like
aten_0.1.m1.10079.m1	ras-related Rap-1A isoform X2
aten_0.1.m1.1008.m1	probable helicase senataxin
aten_0.1.m1.10080.m1	G- coupled receptor 161-like
aten_0.1.m1.10083.m1	quinone oxidoreductase 2 homolog
aten_0.1.m1.10084.m1	E3 ubiquitin- ligase RAD18-like
aten_0.1.m1.10085.m1	Proteasome subunit alpha type-5
aten_0.1.m1.10087.m1	sphingolipid C9-methyltransferase-like
aten_0.1.m1.10088.m1	creatine flagellar-like
aten_0.1.m1.10089.m1	mitochondrial import inner membrane translocase subunit Tim17-B-like
aten_0.1.m1.1009.m1	Carnitine O-palmitoyltransferase liver isoform
aten_0.1.m1.10090.m1	intraflagellar transport 122 homolog
aten_0.1.m1.10091.m1	THAP domain-containing 6
aten_0.1.m1.10092.m1	ras-like GTP-binding RHO
aten_0.1.m1.10093.m1	---NA---
aten_0.1.m1.10094.m1	ras-like GTP-binding RHO
aten_0.1.m1.10095.m1	ETS domain-containing Elk-1-like
aten_0.1.m1.10096.m1	ETS domain-containing Elk-4-like isoform X1
aten_0.1.m1.10097.m1	ETS domain-containing Elk-1-like
aten_0.1.m1.10098.m1	ETS domain-containing Elk-3-like
aten_0.1.m1.10099.m1	ETS domain-containing Elk-3-like
aten_0.1.m1.1010.m1	PREDICTED: uncharacterized protein LOC107341655
aten_0.1.m1.10100.m1	short transient receptor potential channel 4-like
aten_0.1.m1.10101.m1	ETS-related transcription factor Elf-4-like
aten_0.1.m1.10102.m1	mitochondrial-processing peptidase subunit beta-like
aten_0.1.m1.10103.m1	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D-like
aten_0.1.m1.10104.m1	MON2 homolog
aten_0.1.m1.10105.m1	stabilin-2-like
aten_0.1.m1.10106.m1	major facilitator superfamily domain-containing 4A-like
aten_0.1.m1.10107.m1	cytosolic 10-formyltetrahydrofolate dehydrogenase-like
aten_0.1.m1.10108.m1	cytosolic 10-formyltetrahydrofolate dehydrogenase-like isoform X1
aten_0.1.m1.10109.m1	probable BRICK1-B-like
aten_0.1.m1.1011.m1	CCR4-NOT transcription complex subunit 2-like
aten_0.1.m1.10110.m1	PREDICTED: uncharacterized protein LOC107341430 isoform X2
aten_0.1.m1.10111.m1	PREDICTED: uncharacterized protein LOC107341426
aten_0.1.m1.10112.m1	---NA---
aten_0.1.m1.10113.m1	PREDICTED: uncharacterized protein LOC107327768 isoform X5
aten_0.1.m1.10114.m1	PREDICTED: uncharacterized protein LOC107327768 isoform X8
aten_0.1.m1.10115.m1	cell wall integrity and stress response component 3-like
aten_0.1.m1.10116.m1	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D-like
aten_0.1.m1.10117.m1	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D-like
aten_0.1.m1.10120.m1	PREDICTED: uncharacterized protein LOC107350131
aten_0.1.m1.10121.m1	PREDICTED: uncharacterized protein LOC107341424
aten_0.1.m1.10122.m1	PREDICTED: uncharacterized protein LOC107341417
aten_0.1.m1.10124.m1	PREDICTED: uncharacterized protein LOC107348518
aten_0.1.m1.10125.m1	Splicing factor 3B subunit 4
aten_0.1.m1.10127.m1	PREDICTED: uncharacterized protein LOC107348518
aten_0.1.m1.10128.m1	major facilitator superfamily domain-containing 3-like
aten_0.1.m1.10129.m1	PREDICTED: uncharacterized protein LOC107348504 isoform X1
aten_0.1.m1.1013.m1	centrosomal of 290 kDa-like
aten_0.1.m1.10130.m1	Forkhead box P4
aten_0.1.m1.10131.m1	forkhead box D3-B-like
aten_0.1.m1.10132.m1	PREDICTED: uncharacterized protein LOC107348504 isoform X1
aten_0.1.m1.10134.m1	DALR anticodon-binding domain-containing 3-like isoform X1
aten_0.1.m1.10135.m1	forkhead box D2-like
aten_0.1.m1.10137.m1	PREDICTED: uncharacterized protein LOC107348521
aten_0.1.m1.10138.m1	alpha-aminoadipic semialdehyde mitochondrial-like
aten_0.1.m1.10139.m1	PREDICTED: uncharacterized protein LOC107348516
aten_0.1.m1.1014.m1	Adenylate cyclase
aten_0.1.m1.10140.m1	PREDICTED: uncharacterized protein LOC107348487
aten_0.1.m1.10141.m1	PREDICTED: uncharacterized protein LOC107329446
aten_0.1.m1.10142.m1	PREDICTED: uncharacterized protein LOC107348486
aten_0.1.m1.10143.m1	Pogo transposable element with KRAB domain
aten_0.1.m1.10145.m1	PREDICTED: uncharacterized protein LOC107348497
aten_0.1.m1.10147.m1	PREDICTED: uncharacterized protein LOC107348499
aten_0.1.m1.10148.m1	PREDICTED: uncharacterized protein LOC107348496
aten_0.1.m1.10149.m1	PREDICTED: uncharacterized protein LOC107348495 isoform X2
aten_0.1.m1.1015.m1	homeobox Hox-D4b-like
aten_0.1.m1.10150.m1	---NA---
aten_0.1.m1.10151.m1	potassium voltage-gated channel subfamily D member 3-like
aten_0.1.m1.10153.m1	pituitary tumor-transforming gene 1 -interacting -like
aten_0.1.m1.10154.m1	potassium voltage-gated channel Shal-like
aten_0.1.m1.10155.m1	glutathione S-transferase Mu 3-like
aten_0.1.m1.10156.m1	receptor-type tyrosine- phosphatase F-like
aten_0.1.m1.10157.m1	boule-like
aten_0.1.m1.10158.m1	Muscarinic acetylcholine receptor gar-3
aten_0.1.m1.1016.m1	lysine-specific demethylase 3B-like
aten_0.1.m1.10160.m1	PREDICTED: uncharacterized protein LOC107348525
aten_0.1.m1.10161.m1	NLR family CARD domain-containing 4
aten_0.1.m1.10162.m1	dynein heavy chain axonemal-like
aten_0.1.m1.10163.m1	major facilitator superfamily domain-containing 3-like
aten_0.1.m1.10164.m1	cytochrome P450 27C1-like
aten_0.1.m1.10165.m1	U6 snRNA-associated Sm LSm8
aten_0.1.m1.10166.m1	cytochrome P450 27C1-like
aten_0.1.m1.10167.m1	deoxyribonuclease TATDN2
aten_0.1.m1.10168.m1	cytochrome P450 27C1-like
aten_0.1.m1.10169.m1	Ceramide kinase
aten_0.1.m1.1017.m1	transmembrane 128-like
aten_0.1.m1.10170.m1	cytochrome P450 27C1-like
aten_0.1.m1.10171.m1	cytochrome P450 27C1-like
aten_0.1.m1.10172.m1	GRAM domain-containing 4-like
aten_0.1.m1.10173.m1	hemicentin-1-like isoform X1
aten_0.1.m1.10174.m1	fibronectin type III domain-containing -like
aten_0.1.m1.10175.m1	GRAM domain-containing 4-like
aten_0.1.m1.10176.m1	carboxypeptidase B-like
aten_0.1.m1.10177.m1	carboxypeptidase B-like
aten_0.1.m1.10178.m1	hemicentin-1-like isoform X1
aten_0.1.m1.1018.m1	DELTA-alicitoxin-Pse2b-like
aten_0.1.m1.10180.m1	hemicentin-1-like isoform X1
aten_0.1.m1.10181.m1	SHQ1 homolog
aten_0.1.m1.10183.m1	fibronectin type III domain-containing -like
aten_0.1.m1.10184.m1	SHQ1 homolog
aten_0.1.m1.10185.m1	hemicentin-1-like isoform X1
aten_0.1.m1.10186.m1	ame: Full=Fibronectin type III domain-containing ame: Full=Neuroglian Flags: Precursor
aten_0.1.m1.10187.m1	hemicentin-1-like isoform X1
aten_0.1.m1.10188.m1	constitutive coactivator of PPAR-gamma 1
aten_0.1.m1.10189.m1	hemolytic toxin
aten_0.1.m1.1019.m1	DELTA-alicitoxin-Pse2b-like
aten_0.1.m1.10190.m1	ame: Full=DELTA-actitoxin-Aeq1b Short=DELTA-AITX-Aeq1b ame: Full=Equinatoxin V Short=Eqt V Short= ame: Full=Equinatoxin-5 Flags: Precursor
aten_0.1.m1.10191.m1	DELTA-actitoxin-Aeq1b-like isoform X1
aten_0.1.m1.10193.m1	carboxypeptidase B-like
aten_0.1.m1.10194.m1	uncharacterized skeletal organic matrix 5-like
aten_0.1.m1.10195.m1	uncharacterized skeletal organic matrix 5-like
aten_0.1.m1.10196.m1	Neuronal pentraxin-2
aten_0.1.m1.10197.m1	PREDICTED: uncharacterized protein LOC107339683
aten_0.1.m1.10198.m1	neuronal pentraxin-1-like
aten_0.1.m1.10199.m1	transmembrane 243-like
aten_0.1.m1.102.m1	microfibril-associated glyco 4-like isoform X1
aten_0.1.m1.1020.m1	zinc metallo ase-disintegrin-like batroxstatin-2
aten_0.1.m1.10200.m1	carboxypeptidase B-like
aten_0.1.m1.10201.m1	monocarboxylate transporter 4-like
aten_0.1.m1.10202.m1	uncharacterized skeletal organic matrix 5-like isoform X1
aten_0.1.m1.10203.m1	uncharacterized skeletal organic matrix 5-like isoform X2
aten_0.1.m1.10204.m1	uncharacterized skeletal organic matrix 5-like isoform X2
aten_0.1.m1.10205.m1	uncharacterized skeletal organic matrix 5-like isoform X1
aten_0.1.m1.10206.m1	uncharacterized skeletal organic matrix 5-like isoform X2
aten_0.1.m1.10207.m1	uncharacterized skeletal organic matrix 5-
aten_0.1.m1.10208.m1	snail homolog Sna-like
aten_0.1.m1.10209.m1	B-cell receptor-associated 31-like
aten_0.1.m1.10210.m1	monoglyceride lipase-like
aten_0.1.m1.10211.m1	succinate-- ligase [GDP-forming] subunit mitochondrial-like
aten_0.1.m1.10212.m1	26S proteasome non-ATPase regulatory subunit 6-like
aten_0.1.m1.10213.m1	26S proteasome non-ATPase regulatory subunit 6-like
aten_0.1.m1.10214.m1	26S proteasome non-ATPase regulatory subunit 6-like
aten_0.1.m1.10215.m1	PREDICTED: uncharacterized protein LOC107328986 isoform X1
aten_0.1.m1.10216.m1	26S proteasome non-ATPase regulatory subunit 6
aten_0.1.m1.10217.m1	PREDICTED: uncharacterized protein LOC107328986 isoform X1
aten_0.1.m1.10218.m1	PREDICTED: uncharacterized protein LOC107328986 isoform X1
aten_0.1.m1.10219.m1	PREDICTED: uncharacterized protein LOC107350253 isoform X1
aten_0.1.m1.1022.m1	cathepsin Z-like
aten_0.1.m1.10220.m1	peptide methionine sulfoxide reductase -like
aten_0.1.m1.10221.m1	histone-lysine N-methyltransferase 2E-like
aten_0.1.m1.10222.m1	origin recognition complex subunit 4-like
aten_0.1.m1.10223.m1	contactin-4-like isoform X1
aten_0.1.m1.10224.m1	hemK methyltransferase family member 1
aten_0.1.m1.10225.m1	beta-hexosaminidase 1-like
aten_0.1.m1.10226.m1	Striatin-interacting 1
aten_0.1.m1.10227.m1	monocarboxylate transporter 13-like isoform X2
aten_0.1.m1.10228.m1	Monocarboxylate transporter 10
aten_0.1.m1.10229.m1	mitochondrial fission regulator 1-like
aten_0.1.m1.1023.m1	Lactoylglutathione lyase
aten_0.1.m1.10230.m1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12-like
aten_0.1.m1.10232.m1	switch-associated 70-like
aten_0.1.m1.10233.m1	pre-mRNA-splicing factor ISY1 homolog
aten_0.1.m1.10234.m1	5-aminolevulinate mitochondrial-like
aten_0.1.m1.10235.m1	SSUH2 homolog
aten_0.1.m1.10236.m1	ragulator complex LAMTOR5 homolog
aten_0.1.m1.10237.m1	SSUH2 homolog
aten_0.1.m1.10238.m1	G- coupled receptor GRL101
aten_0.1.m1.1024.m1	polycomb group RING finger 3-like
aten_0.1.m1.10240.m1	PREDICTED: uncharacterized protein LOC107342312
aten_0.1.m1.10241.m1	potassium voltage-gated channel Shal-like
aten_0.1.m1.10242.m1	---NA---
aten_0.1.m1.10243.m1	ras-related Rab-43-like
aten_0.1.m1.10245.m1	probable ATP-dependent RNA helicase DDX20
aten_0.1.m1.10246.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.10247.m1	potassium voltage-gated channel Shal-like
aten_0.1.m1.10248.m1	potassium voltage-gated channel Shal-like
aten_0.1.m1.10249.m1	Potassium voltage-gated channel subfamily D member 1
aten_0.1.m1.1025.m1	polycomb group RING finger 5-B-like
aten_0.1.m1.10250.m1	CREB-binding -like
aten_0.1.m1.10251.m1	gamma-aminobutyric acid receptor alpha-like isoform X2
aten_0.1.m1.10252.m1	PREDICTED: uncharacterized protein LOC107342334
aten_0.1.m1.10254.m1	gamma-aminobutyric acid receptor alpha-like isoform X2
aten_0.1.m1.10255.m1	gamma-aminobutyric acid receptor subunit alpha-5-like isoform X2
aten_0.1.m1.10256.m1	gamma-aminobutyric acid receptor alpha-like isoform X2
aten_0.1.m1.10258.m1	THAP domain-containing 5-like
aten_0.1.m1.10259.m1	gamma-aminobutyric acid receptor alpha-like
aten_0.1.m1.1026.m1	Hermansky-Pudlak syndrome 1 homolog
aten_0.1.m1.10260.m1	gamma-aminobutyric acid receptor subunit alpha-6-like isoform X1
aten_0.1.m1.10261.m1	gamma-aminobutyric acid receptor alpha-like isoform X1
aten_0.1.m1.10262.m1	ABC transporter C family member 12
aten_0.1.m1.10263.m1	gamma-aminobutyric acid receptor subunit alpha-6-like isoform X1
aten_0.1.m1.10264.m1	gamma-aminobutyric acid receptor subunit alpha-6-like isoform X1
aten_0.1.m1.10265.m1	histamine H2 receptor-like
aten_0.1.m1.10266.m1	histamine H2 receptor-like
aten_0.1.m1.10267.m1	histamine H2 receptor-like
aten_0.1.m1.10268.m1	histamine H2 receptor-like
aten_0.1.m1.10269.m1	histamine H2 receptor-like
aten_0.1.m1.1027.m1	Rho-related BTB domain-containing 1
aten_0.1.m1.10270.m1	Neuropeptide Y receptor
aten_0.1.m1.10271.m1	gamma-aminobutyric acid receptor subunit alpha-6-like isoform X1
aten_0.1.m1.10272.m1	gamma-aminobutyric acid receptor subunit alpha-6-like isoform X1
aten_0.1.m1.10273.m1	hypothetical protein AC249_AIPGENE21799
aten_0.1.m1.10275.m1	carboxypeptidase B-like
aten_0.1.m1.10276.m1	Coagulation factor V
aten_0.1.m1.10277.m1	histamine H2 receptor-like
aten_0.1.m1.10278.m1	histamine H2 receptor-like
aten_0.1.m1.1028.m1	polycomb group RING finger 5-B-like
aten_0.1.m1.10280.m1	histamine H2 receptor-like
aten_0.1.m1.10281.m1	histamine H2 receptor-like
aten_0.1.m1.10283.m1	Fibroblast growth factor receptor 1-A
aten_0.1.m1.10284.m1	RNA polymerase II-associated 3-like
aten_0.1.m1.10285.m1	Fibroblast growth factor receptor 1-A
aten_0.1.m1.10286.m1	gamma-aminobutyric acid receptor alpha-like isoform X1
aten_0.1.m1.10288.m1	histamine H2 receptor-like
aten_0.1.m1.10289.m1	histamine H2 receptor-like
aten_0.1.m1.1029.m1	leucine-rich repeat serine threonine- kinase 2-like
aten_0.1.m1.10290.m1	histamine H2 receptor-like
aten_0.1.m1.10291.m1	histamine H2 receptor-like
aten_0.1.m1.10292.m1	DGCR14-like
aten_0.1.m1.10293.m1	DNA-binding HEXBP-like isoform X2
aten_0.1.m1.10294.m1	cilia- and flagella-associated 100-like
aten_0.1.m1.10295.m1	G T mismatch-specific thymine DNA glycosylase-like
aten_0.1.m1.10296.m1	rolling stone-like
aten_0.1.m1.10297.m1	rolling stone-like
aten_0.1.m1.10298.m1	small integral membrane 4
aten_0.1.m1.10299.m1	inhibitor of growth 3-like
aten_0.1.m1.103.m1	Ubiquitin-like modifier-activating enzyme 1
aten_0.1.m1.1030.m1	RMD5 homolog A-like
aten_0.1.m1.10300.m1	probable imidazolonepropionase
aten_0.1.m1.10301.m1	Small nuclear ribonucleo F
aten_0.1.m1.10302.m1	WD repeat-containing 49-like
aten_0.1.m1.10303.m1	probable 28S rRNA (cytosine-C(5))-methyltransferase
aten_0.1.m1.10304.m1	mitochondrial-like
aten_0.1.m1.10305.m1	L-lysine 2,3-aminomutase aq_1632
aten_0.1.m1.10306.m1	L-lysine 2,3-aminomutase aq_1632
aten_0.1.m1.10307.m1	UDP-galactose translocator-like
aten_0.1.m1.10308.m1	dynamin-1
aten_0.1.m1.10309.m1	uncharacterized protein LOC110057916
aten_0.1.m1.1031.m1	PREDICTED: uncharacterized protein LOC107348405
aten_0.1.m1.10310.m1	fez family zinc finger 1-like
aten_0.1.m1.10311.m1	UDP-N-acetylglucosamine transporter-like isoform X1
aten_0.1.m1.10312.m1	THAP domain-containing 11
aten_0.1.m1.10313.m1	vesicular inhibitory amino acid transporter-like
aten_0.1.m1.10314.m1	uncharacterized protein LOC110056480
aten_0.1.m1.10315.m1	Exonuclease
aten_0.1.m1.10316.m1	UDP-galactose translocator-like
aten_0.1.m1.10317.m1	cyclin-dependent kinase 20-like
aten_0.1.m1.10318.m1	MORN repeat-containing 5-like
aten_0.1.m1.10319.m1	---NA---
aten_0.1.m1.1032.m1	serine protease mitochondrial-like
aten_0.1.m1.10321.m1	MORN repeat-containing 5
aten_0.1.m1.10322.m1	PREDICTED: uncharacterized protein LOC107326889
aten_0.1.m1.10323.m1	PREDICTED: uncharacterized protein LOC107328206
aten_0.1.m1.10324.m1	CUB domain-containing -like
aten_0.1.m1.10325.m1	macrophage mannose receptor 1-
aten_0.1.m1.10326.m1	uncharacterized protein LOC111339596
aten_0.1.m1.10327.m1	PREDICTED: uncharacterized protein LOC107339770
aten_0.1.m1.10328.m1	neutrophil cytosol factor 2-like
aten_0.1.m1.10329.m1	PREDICTED: uncharacterized protein LOC107327384
aten_0.1.m1.10330.m1	CUB domain-containing -like
aten_0.1.m1.10331.m1	ATP-dependent DNA helicase
aten_0.1.m1.10332.m1	ATP-dependent DNA helicase Q1
aten_0.1.m1.10334.m1	E3 ubiquitin- ligase DZIP3
aten_0.1.m1.10337.m1	---NA---
aten_0.1.m1.10338.m1	PREDICTED: uncharacterized protein LOC107346223
aten_0.1.m1.10339.m1	PREDICTED: uncharacterized protein LOC107327384
aten_0.1.m1.1034.m1	RTF2 homolog
aten_0.1.m1.10340.m1	uncharacterized protein LOC111335808 isoform X1
aten_0.1.m1.10341.m1	ATP-dependent DNA helicase
aten_0.1.m1.10343.m1	PREDICTED: uncharacterized protein LOC107339768 isoform X3
aten_0.1.m1.10344.m1	PREDICTED: uncharacterized protein LOC107339770
aten_0.1.m1.10346.m1	PREDICTED: uncharacterized protein LOC107346223
aten_0.1.m1.10347.m1	THAP domain-containing 2
aten_0.1.m1.10348.m1	ANTAGONIST OF LIKE HETEROCHROMATIN PROTEIN 1-like
aten_0.1.m1.10349.m1	transient receptor potential cation channel subfamily M member 6-like
aten_0.1.m1.1035.m1	polycomb group RING finger 1-like
aten_0.1.m1.10350.m1	PREDICTED: uncharacterized protein LOC107358302
aten_0.1.m1.10351.m1	Iron zinc purple acid phosphatase
aten_0.1.m1.10352.m1	P2X purinoceptor 7-like
aten_0.1.m1.10353.m1	cnidCAP isoform
aten_0.1.m1.10354.m1	Galactosylceramide sulfotransferase
aten_0.1.m1.10355.m1	leucine-rich repeat and guanylate kinase domain-containing -like
aten_0.1.m1.10356.m1	galactosylceramide sulfotransferase-like
aten_0.1.m1.10357.m1	leucine-rich repeat and guanylate kinase domain-containing -like
aten_0.1.m1.10358.m1	Collagen alpha-1(V) chain
aten_0.1.m1.10359.m1	alpha-amylase 2-like
aten_0.1.m1.1036.m1	FAM160B1-like isoform X2
aten_0.1.m1.10360.m1	Receptor-type tyrosine- kinase FLT3
aten_0.1.m1.10361.m1	tRNA-dihydrouridine(20a 20b) synthase [NAD(P)+]-like
aten_0.1.m1.10363.m1	---NA---
aten_0.1.m1.10365.m1	neuroligin- Y-linked-like
aten_0.1.m1.10366.m1	PREDICTED: uncharacterized protein LOC107351036
aten_0.1.m1.10368.m1	U6 snRNA-associated Sm LSm3
aten_0.1.m1.10369.m1	Mitogen-activated kinase 14
aten_0.1.m1.1037.m1	---NA---
aten_0.1.m1.10370.m1	PREDICTED: uncharacterized protein LOC107339785 isoform X2
aten_0.1.m1.10371.m1	PREDICTED: fibrillin-2-like
aten_0.1.m1.10372.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.10375.m1	exonuclease 3 -5 domain-containing 2-like
aten_0.1.m1.10376.m1	PREDICTED: uncharacterized protein LOC107339785 isoform X1
aten_0.1.m1.10377.m1	exonuclease 3 -5 domain-containing 2-like
aten_0.1.m1.10378.m1	exonuclease 3 -5 domain-containing 2-like
aten_0.1.m1.10379.m1	exonuclease 3 -5 domain-containing 2-like
aten_0.1.m1.1038.m1	Homeobox not2
aten_0.1.m1.10381.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.10382.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.10384.m1	ATP-dependent DNA helicase
aten_0.1.m1.10385.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.10388.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.10389.m1	OTU domain-containing 5-A-like
aten_0.1.m1.1039.m1	arsenite methyltransferase-like
aten_0.1.m1.10390.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.10391.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.10392.m1	exonuclease 3 -5 domain-containing 2-like
aten_0.1.m1.10393.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.10394.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.10395.m1	S-antigen -like
aten_0.1.m1.10397.m1	PREDICTED: uncharacterized protein LOC107356316
aten_0.1.m1.10398.m1	Iron zinc purple acid phosphatase
aten_0.1.m1.10399.m1	PREDICTED: uncharacterized protein LOC107351036
aten_0.1.m1.104.m1	microfibril-associated glyco 4-like isoform X1
aten_0.1.m1.1040.m1	PREDICTED: uncharacterized protein LOC107348420
aten_0.1.m1.10401.m1	NFX1-type zinc finger-containing 1
aten_0.1.m1.10402.m1	PREDICTED: uncharacterized protein LOC106808369
aten_0.1.m1.10403.m1	serine protease 23
aten_0.1.m1.10406.m1	52 kDa repressor of the inhibitor of the kinase-like
aten_0.1.m1.10407.m1	Serine threonine- kinase Chk2
aten_0.1.m1.10408.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.10409.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.1041.m1	exportin-7 isoform X2
aten_0.1.m1.10410.m1	SSUH2 homolog
aten_0.1.m1.10412.m1	---NA---
aten_0.1.m1.10413.m1	volume-regulated anion channel subunit LRRC8A-like
aten_0.1.m1.10415.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.10416.m1	ATP-dependent DNA helicase -like
aten_0.1.m1.10417.m1	SSUH2 homolog
aten_0.1.m1.10418.m1	SSUH2 homolog
aten_0.1.m1.10419.m1	hypothetical protein AC249_AIPGENE15278
aten_0.1.m1.1042.m1	signal recognition particle subunit SRP72-like
aten_0.1.m1.10421.m1	phospholipase-B 81-like isoform X4
aten_0.1.m1.10422.m1	phospholipase-B 81-like isoform X4
aten_0.1.m1.10423.m1	phospholipase-B 81-like isoform X4
aten_0.1.m1.10424.m1	phospholipase-B 81-like isoform X1
aten_0.1.m1.10427.m1	---NA---
aten_0.1.m1.10428.m1	---NA---
aten_0.1.m1.1043.m1	V-type proton ATPase subunit B
aten_0.1.m1.10430.m1	PREDICTED: uncharacterized protein LOC107349629 isoform X1
aten_0.1.m1.10431.m1	bifunctional -like
aten_0.1.m1.10432.m1	mitogen-activated kinase-binding 1-like isoform X2
aten_0.1.m1.10433.m1	TFIIH basal transcription factor complex helicase XPD subunit-like
aten_0.1.m1.10434.m1	serine threonine- phosphatase PP1-beta catalytic subunit
aten_0.1.m1.10435.m1	GTP-binding 2-like
aten_0.1.m1.10436.m1	Pterin-4-alpha-carbinolamine dehydratase
aten_0.1.m1.10437.m1	CB1 cannabinoid receptor-interacting 1-like
aten_0.1.m1.10438.m1	72 kDa type IV collagenase-like
aten_0.1.m1.10439.m1	matrix metallo ase-25-like
aten_0.1.m1.1044.m1	DBF4 homolog B-like
